Question number,Annotation 1,Annotation 2,Annotation 3,Annotation 4,Annotation 5,,,,,,,,,
1,Define diffusion and describe its role in nutrient uptake and gaseous exchange in plants and humans,"Define active transport and discuss its importance as an energy-consuming process by which substances are transported against a concentration gradient, as in ion uptake by root hairs and uptake of glucose by cells in the villi",Define homeostasis as the maintenance of a constant internal environment,,,,,,,,,,,
2,Golgi body ,Reducing sugars (Benedict's solution),"Explain how energy losses occur along food chains, and discuss the efficiency of energy transfer between trophic levels","Explain what is meant by an endocrine gland, with reference to the islets of Langerhans in the pancreas",,,,,,,,,,
3,"Explain the basic principles of homeostasis in terms of stimulus resulting from a change in the internal environment, a corrective mechanism and negative feedback",Compare the structure of typical animal and plant cells,"Identify, with the aid of diagrams, the main stages of mitosis","Briefly describe the menstrual cycle with reference to the alternation of menstruation and ovulation, the natural variation in its length, and the fertile and infertile phases of the cycle with reference to the effects of progesterone and estrogen only","State the structure of DNA in terms of the bases, sugar and phosphate groups found in each of their nucleotides ",,,,,,,,,
4,"Define and state the equation, in words only, for anaerobic respiration in humans",Briefly explain how a gene that controls the production of human insulin can be inserted into bacterial DNA to produce human insulin in medical biotechnology ,Describe the transfer of materials between capillaries and tissue fluid,,,,,,,,,,,
5,State the roles of water in living organisms,"Explain the mode of action of enzymes in terms of an active site, enzyme-substrate complex, lowering of activation energy and enzyme specificity",,,,,,,,,,,,
6,State the function of the hepatic portal vein as the transport of blood rich in absorbed nutrients from the small intestine to the liver,Describe peristalsis in terms of rhythmic wave-like contractions of the muscles to mix and propel the contents of the alimentary canal,,,,,,,,,,,,
7,"Use a hand lens to identify and describe the stamens and stigmas of one, locally available, named, wind-pollinated flower, and examine the pollen grains using a microscope",State the functions of the amniotic sac and the amniotic fluid,Cell surface membrane,Conduction and support – xylem vessels,,,,,,,,,,
8,Cytoplasm,,,,,,,,,,,,,
9,Lipids such as fats from glycerol and fatty acids,Distribution of chloroplasts in photosynthesis ,,,,,,,,,,,,
10,Explain enzyme action in terms of the ‘lock and key’ hypothesis,,,,,,,,,,,,,
11,Mitochondria,,,,,,,,,,,,,
12,State the functions of the amniotic sac and the amniotic fluid,Outline the pathway by which water is transported from the roots to the leaves through the xylem vessels,,,,,,,,,,,,
13,Define diffusion and describe its role in nutrient uptake and gaseous exchange in plants and humans,,,,,,,,,,,,,
14,"Explain why observed ratios often differ from expected ratios, especially when there are small numbers of progeny ",Proteins,,,,,,,,,,,,
15,Discuss the spread of human immunodeficiency virus (HIV) and methods by which it may be controlled,Explain how the blood glucose concentration is regulated by insulin and glucagon as a homeostatic mechanism ,Describe the structure of the eye as seen in front view and in horizontal section,"Describe the role of cilia, diaphragm, ribs and intercostal muscles in breathing",Chloroplasts,,,,,,,,,
16,Pollution due to insecticides including bioaccumulation up food chains and impact on top carnivores,,,,,,,,,,,,,
17,"Describe the maintenance of a constant body temperature in humans in terms of insulation and the role of: temperature receptors in the skin, sweating, shivering, blood vessels near the skin surface and the co-ordinating role of the hypothalamus",,,,,,,,,,,,,
18,"Explain the terms producer, consumer and trophic level in the context of food chains and food webs ",,,,,,,,,,,,,
19,"State the relationship between receptors, the central nervous system and the effectors ",Nucleus,Explain enzyme action in terms of the ‘lock and key’ hypothesis,,,,,,,,,,,
20,Protein (biuret test),Starch (iodine in potassium iodide solution),"Describe the signs, such as an increased blood glucose level and glucose in urine, and the treatment of diabetes mellitus using insulin",Explain that genes may be transferred between cells. Reference should be made to the transfer of genes between organisms of the same species or different species – transgenic plants or animals ,,,,,,,,,,
21,Cytoplasm,,,,,,,,,,,,,
22,"Define and state the equation, in words and symbols, for aerobic respiration in humans",,,,,,,,,,,,,
23,Briefly describe the non-cyclical nature of energy flow,Describe the structure of the eye as seen in front view and in horizontal section,Nucleus,"Describe the functions of main regions of the alimentary canal and the associated organs: mouth, salivary glands, oesophagus, stomach, duodenum, pancreas, gall bladder, liver, ileum, colon, rectum, anus, in relation to ingestion, digestion, absorption, assimilation and egestion of food, as appropriate","Define and state the equation, in words only, for anaerobic respiration in humans",,,,,,,,,
24,Explain how the blood glucose concentration is regulated by insulin and glucagon as a homeostatic mechanism ,"Explain the movement of water between plant cells, and between them and the environment in
terms of water potential (calculations on water potential are not required)",Protein (biuret test),,,,,,,,,,,
25,"Briefly describe the menstrual cycle with reference to the alternation of menstruation and ovulation, the natural variation in its length, and the fertile and infertile phases of the cycle with reference to the effects of progesterone and estrogen only","Briefly describe the menstrual cycle with reference to the alternation of menstruation and ovulation, the natural variation in its length, and the fertile and infertile phases of the cycle with reference to the effects of progesterone and estrogen only",Breakdown of red blood cells,,,,,,,,,,,
26,Polypeptides and proteins from amino acids,Water pollution by sewage and by inorganic waste ,,,,,,,,,,,,
27,Outline the role of anti-diuretic hormone (ADH) in osmoregulation ,Describe the structure and function of the heart in terms of muscular contraction and the working of valves,Use genetic diagrams to solve problems involving monohybrid inheritance (genetic diagrams involving autosomal linkage or epistasis are not required) ,,,,,,,,,,,
28,"State the characteristics of, and describe the role of, the exchange surface of the alveoli in gas exchange",,,,,,,,,,,,,
29,Define sexual reproduction as the process involving the fusion of nuclei to form a zygote and the production of genetically dissimilar offspring,,,,,,,,,,,,,
30,"State the relationship between receptors, the central nervous system and the effectors ",,,,,,,,,,,,,
31,"Outline the relationship between DNA, genes and chromosomes","Explain why observed ratios often differ from expected ratios, especially when there are small numbers of progeny ",Red blood cells – haemoglobin and oxygen transport ,"Define and state the equation, in words only, for anaerobic respiration in humans",,,,,,,,,,
32,"Predict the results of simple crosses with expected ratios of 3:1 and 1:1, using the terms homozygous, heterozygous, F1 generation and F2 generation ",,,,,,,,,,,,,
33,"Explain the mode of action of enzymes in terms of an active site, enzyme-substrate complex, lowering of activation energy and enzyme specificity",,,,,,,,,,,,,
34,"State that each gene is a sequence of nucleotides, as part of a DNA molecule ",Breakdown of red blood cells,,,,,,,,,,,,
35,Describe the structure of the eye as seen in front view and in horizontal section,,,,,,,,,,,,,
36,"Describe mutation as a change in the structure of a gene such as in sickle cell anaemia, or in the chromosome number, such as the 47 chromosomes in the condition known as Down syndrome",,,,,,,,,,,,,
37,"Describe the maintenance of a constant body temperature in humans in terms of insulation and the role of: temperature receptors in the skin, sweating, shivering, blood vessels near the skin surface and the co-ordinating role of the hypothalamus","Compare, using fresh specimens, an insect-pollinated and a wind-pollinated flower","Identify the positions and explain the functions of xylem vessels, phloem (sieve tube elements and companion cells) in sections of a herbaceous dicotyledonous leaf and stem, using the light microscope",Name radiation and chemicals as factors which may increase the rate of mutation,Carbohydrates,,,,,,,,,
38,Polypeptides and proteins from amino acids,"Explain the mode of action of enzymes in terms of an active site, enzyme-substrate complex, lowering of activation energy and enzyme specificity",,,,,,,,,,,,
39,"Describe the role of cilia, diaphragm, ribs and intercostal muscles in breathing",,,,,,,,,,,,,
40,Define diffusion and describe its role in nutrient uptake and gaseous exchange in plants and humans,,,,,,,,,,,,,
41,Endoplasmic reticulum,Define asexual reproduction as the process resulting in the production of genetically identical offspring from one parent ,,,,,,,,,,,,
42,"Discuss the social and ethical implications of genetic engineering, with reference to a named example ",,,,,,,,,,,,,
43,Explain that genes may be transferred between cells. Reference should be made to the transfer of genes between organisms of the same species or different species – transgenic plants or animals ,,,,,,,,,,,,,
44,"State that each gene is a sequence of nucleotides, as part of a DNA molecule ",,,,,,,,,,,,,
45,Endoplasmic reticulum,Glycogen from glucose,State the functions of the amniotic sac and the amniotic fluid,Glycogen from glucose,,,,,,,,,,
46,Breakdown of alcohol,,,,,,,,,,,,,
47,"Describe the structure of a villus and its role, including the role of capillaries and lacteals in absorption",,,,,,,,,,,,,
48,Chloroplasts,Give examples of artificial selection such as in the production of economically important plants and animals,Define sexual reproduction as the process involving the fusion of nuclei to form a zygote and the production of genetically dissimilar offspring,,,,,,,,,,,
49,"Identify on diagrams, the male reproductive system and give the functions of: testes, scrotum, sperm ducts, prostate gland, urethra and penis","Predict the results of simple crosses with expected ratios of 3:1 and 1:1, using the terms homozygous, heterozygous, F1 generation and F2 generation ",,,,,,,,,,,,
50,Nucleus,,,,,,,,,,,,,
51,Outline the function of the nephron with reference to ultra-filtration and selective reabsorption in the production of urine,"Explain the terms dominant, recessive, codominant, homozygous, heterozygous, phenotype and genotype ",,,,,,,,,,,,
52,Give examples of environmental factors that act as forces of natural selection ,"Compare, using fresh specimens, an insect-pollinated and a wind-pollinated flower",,,,,,,,,,,,
53,"State the relationship between receptors, the central nervous system and the effectors ","Use a hand lens to identify and describe the stamens and stigmas of one, locally available, named, wind-pollinated flower, and examine the pollen grains using a microscope",,,,,,,,,,,,
54,"Use a hand lens to identify and describe the stamens and stigmas of one, locally available, named, wind-pollinated flower, and examine the pollen grains using a microscope",,,,,,,,,,,,,
55,"Explain the basic principles of homeostasis in terms of stimulus resulting from a change in the internal environment, a corrective mechanism and negative feedback",Explain enzyme action in terms of the ‘lock and key’ hypothesis,,,,,,,,,,,,
56,Distribution of chloroplasts in photosynthesis ,"Describe the function of the placenta and umbilical cord in relation to exchange of dissolved nutrients, gases and excretory products (structural details are not required)",Reducing sugars (Benedict's solution),Transport of oxygen – red blood cells,"Describe the function of the placenta and umbilical cord in relation to exchange of dissolved nutrients, gases and excretory products (structural details are not required)",,,,,,,,,
57,"Explain how energy losses occur along food chains, and discuss the efficiency of energy transfer between trophic levels",,,,,,,,,,,,,
58,Define sexual reproduction as the process involving the fusion of nuclei to form a zygote and the production of genetically dissimilar offspring,Briefly explain how a gene that controls the production of human insulin can be inserted into bacterial DNA to produce human insulin in medical biotechnology ,Define excretion and explain the importance of removing nitrogenous and other compounds from the body,Explain how the blood glucose concentration is regulated by insulin and glucagon as a homeostatic mechanism ,,,,,,,,,,
59,"State that each gene is a sequence of nucleotides, as part of a DNA molecule ","Describe the functions of enzymes (e.g. amylase, maltase, protease, lipase) in digestion, listing the substrates and end-products",Mitochondria,,,,,,,,,,,
60,"Describe the functions of main regions of the alimentary canal and the associated organs: mouth, salivary glands, oesophagus, stomach, duodenum, pancreas, gall bladder, liver, ileum, colon, rectum, anus, in relation to ingestion, digestion, absorption, assimilation and egestion of food, as appropriate",,,,,,,,,,,,,
61,Fats,"Platelets – fibrinogen to fibrin, causing clotting","Define and state the equation, in words only, for anaerobic respiration in humans",Define diffusion and describe its role in nutrient uptake and gaseous exchange in plants and humans,,,,,,,,,,
62,"Describe the structure of a villus and its role, including the role of capillaries and lacteals in absorption",,,,,,,,,,,,,
63,Breakdown of alcohol,,,,,,,,,,,,,
64,Outline the role of anti-diuretic hormone (ADH) in osmoregulation ,Polypeptides and proteins from amino acids,Nucleus,,,,,,,,,,,
65,"Identify on diagrams, the female reproductive system and give the functions of: ovaries, oviducts, uterus, cervix and vagina ","State the functions of the sepals, petals, anthers and carpels ",,,,,,,,,,,,
66,Describe how carbon is cycled within an ecosystem and outline the role of forests and oceans as carbon sinks,Describe how carbon is cycled within an ecosystem and outline the role of forests and oceans as carbon sinks,State the roles of water in living organisms,Cell surface membrane,"State the equation, in words and symbols, for photosynthesis",,,,,,,,,
67,"Explain the mode of action of enzymes in terms of an active site, enzyme-substrate complex, lowering of activation energy and enzyme specificity",,,,,,,,,,,,,
68,"Relate the structure of arteries, veins and capillaries to their functions",,,,,,,,,,,,,
69,"Discuss the social and ethical implications of genetic engineering, with reference to a named example ",Outline the process of pollination and distinguish between self-pollination and cross-pollination,,,,,,,,,,,,
70,"Explain the terms producer, consumer and trophic level in the context of food chains and food webs ","Identify, with the aid of diagrams, the main stages of meiosis (names of the sub-divisions of prophase are not required) ",,,,,,,,,,,,
71,"Identify on diagrams and name the larynx, trachea, bronchi, bronchioles, alveoli and associated capillaries",,,,,,,,,,,,,
72,Explain that genes may be transferred between cells. Reference should be made to the transfer of genes between organisms of the same species or different species – transgenic plants or animals ,,,,,,,,,,,,,
73,"Use a hand lens to identify and describe the stamens and stigmas of one, locally available, named, wind-pollinated flower, and examine the pollen grains using a microscope","Plasma – transport of blood cells, ions, soluble food substances, hormones, carbon dioxide, urea, vitamins, plasma proteins","State that each gene is a sequence of nucleotides, as part of a DNA molecule ","Define and state the equation, in words only, for anaerobic respiration in humans",,,,,,,,,,
74,"Outline the cardiac cycle in terms of what happens during systole and diastole (histology of the heart muscle, names of nerves and transmitter substances are not required)",,,,,,,,,,,,,
75,Describe how carbon is cycled within an ecosystem and outline the role of forests and oceans as carbon sinks,Discuss the function of the brain and spinal cord in producing a co-ordinated response as a result of a specific stimulus in a reflex action,,,,,,,,,,,,
76,Cytoplasm,Lipids such as fats from glycerol and fatty acids,,,,,,,,,,,,
77,Explain enzyme action in terms of the ‘lock and key’ hypothesis,Name radiation and chemicals as factors which may increase the rate of mutation,,,,,,,,,,,,
78,Vascular bundles in transport,Protein (biuret test),,,,,,,,,,,,
79,"Outline the relationship between DNA, genes and chromosomes",Describe and interpret pyramids of numbers and biomass ,,,,,,,,,,,,
80,State the function of the hepatic portal vein as the transport of blood rich in absorbed nutrients from the small intestine to the liver,"Discuss the social and ethical implications of genetic engineering, with reference to a named example ",,,,,,,,,,,,
81,Name radiation and chemicals as factors which may increase the rate of mutation,,,,,,,,,,,,,
82,"Describe the effects of excessive consumption of alcohol: reduced self-control, depressant, effect on reaction times, damage to liver and social implications",Compare the structure of typical animal and plant cells,,,,,,,,,,,,
83,Outline the mechanism of dialysis in the case of kidney failure,Briefly describe the non-cyclical nature of energy flow,Cytoplasm,,,,,,,,,,,
84,Stomata and mesophyll cells in gaseous exchange,,,,,,,,,,,,,
85,Describe the determination of sex in humans – XX and XY chromosomes ,,,,,,,,,,,,,
86,"State the importance of mitosis in growth, repair and asexual reproduction",Describe and interpret pyramids of numbers and biomass ,,,,,,,,,,,,
87,State how meiosis and fertilisation can lead to variation,How wilting occurs,"Identify on a diagram of the skin: hairs, sweat glands, temperature receptors, blood vessels and fatty tissue",Chloroplasts,Give examples of artificial selection such as in the production of economically important plants and animals,,,,,,,,,
88,"Identify on diagrams and name the larynx, trachea, bronchi, bronchioles, alveoli and associated capillaries",,,,,,,,,,,,,
89,State the function of the hepatic portal vein as the transport of blood rich in absorbed nutrients from the small intestine to the liver,Describe the structure and function of the heart in terms of muscular contraction and the working of valves,State how meiosis and fertilisation can lead to variation,"Identify, with the aid of diagrams, the main stages of meiosis (names of the sub-divisions of prophase are not required) ",,,,,,,,,,
90,"Describe the functions of main regions of the alimentary canal and the associated organs: mouth, salivary glands, oesophagus, stomach, duodenum, pancreas, gall bladder, liver, ileum, colon, rectum, anus, in relation to ingestion, digestion, absorption, assimilation and egestion of food, as appropriate",,,,,,,,,,,,,
91,"State the functions of the sepals, petals, anthers and carpels ",,,,,,,,,,,,,
92,"State the importance of mitosis in growth, repair and asexual reproduction","State the importance of mitosis in growth, repair and asexual reproduction","Outline the functions of sensory neurones, relay neurones and motor neurones ",Proteins,"Define a hormone as a chemical substance, produced by a gland, carried by the blood, which alters the activity of one or more specific target organs and is then destroyed by the liver ",,,,,,,,,
93,Describe and interpret pyramids of numbers and biomass ,,,,,,,,,,,,,
94,State the functions of the membrane systems and organelles identified above,,,,,,,,,,,,,
95,"Plasma – transport of blood cells, ions, soluble food substances, hormones, carbon dioxide, urea, vitamins, plasma proteins",,,,,,,,,,,,,
96,Ribosomes,,,,,,,,,,,,,
97,State the principal functions of component parts of the eye in producing a focused image of near and distant objects on the retina ,"White blood cells – phagocytosis, antibody formation and tissue rejection",,,,,,,,,,,,
98,Give examples of artificial selection such as in the production of economically important plants and animals,,,,,,,,,,,,,
99,Briefly explain how a gene that controls the production of human insulin can be inserted into bacterial DNA to produce human insulin in medical biotechnology ,,,,,,,,,,,,,
100,Endoplasmic reticulum,,,,,,,,,,,,,
101,Explain the need for the production of genetically identical cells,Describe the effect of lactic acid in muscles during exercise,,,,,,,,,,,,
102,Pollution due to insecticides including bioaccumulation up food chains and impact on top carnivores,,,,,,,,,,,,,
103,"Discuss the social and ethical implications of genetic engineering, with reference to a named example ",Give examples of environmental factors that act as forces of natural selection ,,,,,,,,,,,,
104,"Outline the cardiac cycle in terms of what happens during systole and diastole (histology of the heart muscle, names of nerves and transmitter substances are not required)",,,,,,,,,,,,,
105,"State that each gene is a sequence of nucleotides, as part of a DNA molecule ",Absorption – root hair cells,,,,,,,,,,,,
